Namespace(I0=20, N=10000, R0=0, beta=0.5, data='italy_i.csv', day_max=58, day_min=33, delta=0.2, k_inf=1, k_rec=1, llavor=1, nseed=1, seed0=1)
         1198205 function calls (1185443 primitive calls) in 3.472 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   602/20    0.003    0.000    0.523    0.026 <frozen importlib._bootstrap>:986(_find_and_load)
      287    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1010(path_stats)
       35    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:104(_path_isdir)
       31    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1088(__init__)
       31    0.000    0.000    0.020    0.001 <frozen importlib._bootstrap_external>:1099(create_module)
    31/26    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1107(exec_module)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1146(_find_parent_path_names)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1156(_get_parent_path)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1160(_recalculate)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1173(__iter__)
       33    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1252(_path_hooks)
      726    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1265(_path_importer_cache)
  363/362    0.002    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:1302(_get_spec)
      362    0.000    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:1334(find_spec)
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1394(__init__)
      272    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1400(<genexpr>)
      327    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1426(_get_spec)
      649    0.006    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
       34    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1479(_fill_cache)
       34    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1520(path_hook_for_FileFinder)
      574    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:294(cache_from_source)
      649    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:40(_relax_case)
      318    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:424(_get_cached)
      287    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:456(_check_name_wrapper)
      287    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:493(_classify_pyc)
      861    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:51(_unpack_uint32)
      287    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:526(_validate_timestamp_pyc)
      287    0.001    0.000    0.058    0.000 <frozen importlib._bootstrap_external>:578(_compile_bytecode)
     3439    0.003    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
      327    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:629(spec_from_file_location)
     3439    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
      574    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
      287    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:774(create_module)
    287/4    0.001    0.000    0.522    0.130 <frozen importlib._bootstrap_external>:777(exec_module)
     1438    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
      287    0.003    0.000    0.080    0.000 <frozen importlib._bootstrap_external>:849(get_code)
      469    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
      296    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:939(__init__)
      287    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:964(get_filename)
      287    0.002    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:969(get_data)
      434    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
       34    0.000    0.000    0.000    0.000 <frozen zipimport>:63(__init__)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
      283    0.000    0.000    0.000    0.000 <string>:1(__new__)
        1    0.000    0.000    0.000    0.000 GLib.py:173(Variant)
        1    0.000    0.000    0.005    0.005 GLib.py:22(<module>)
       11    0.000    0.000    0.000    0.000 GLib.py:413(markup_escape_text)
        1    0.000    0.000    0.000    0.000 GLib.py:486(MainLoop)
        1    0.000    0.000    0.000    0.000 GLib.py:504(MainContext)
        1    0.000    0.000    0.000    0.000 GLib.py:514(Source)
        1    0.000    0.000    0.000    0.000 GLib.py:572(Idle)
        1    0.000    0.000    0.000    0.000 GLib.py:587(Timeout)
        2    0.000    0.000    0.000    0.000 GLib.py:602(idle_add)
        2    0.000    0.000    0.000    0.000 GLib.py:638(_io_add_watch_get_args)
        2    0.000    0.000    0.000    0.000 GLib.py:684(io_add_watch)
        1    0.000    0.000    0.000    0.000 GLib.py:694(IOChannel)
        1    0.000    0.000    0.000    0.000 GLib.py:776(PollFD)
        1    0.000    0.000    0.000    0.000 GLib.py:86(_VariantCreator)
        1    0.000    0.000    0.000    0.000 GObject.py:204(Value)
        1    0.000    0.000    0.002    0.002 GObject.py:24(<module>)
        1    0.000    0.000    0.000    0.000 GObject.py:392(_HandlerBlockManager)
        1    0.000    0.000    0.000    0.000 GObject.py:485(_FreezeNotifyManager)
        5    0.000    0.000    0.000    0.000 GObject.py:496(_signalmethod)
        1    0.000    0.000    0.000    0.000 GObject.py:506(Object)
        1    0.000    0.000    0.000    0.000 GObject.py:649(Binding)
        1    0.000    0.000    0.000    0.000 Gdk.py:167(Window)
        1    0.000    0.000    0.000    0.000 Gdk.py:186(Event)
        1    0.005    0.005    0.017    0.017 Gdk.py:22(<module>)
        1    0.000    0.000    0.000    0.000 Gdk.py:312(DragContext)
        1    0.000    0.000    0.000    0.000 Gdk.py:320(Cursor)
        1    0.000    0.000    0.000    0.000 Gdk.py:46(Color)
        1    0.000    0.000    0.000    0.000 Gdk.py:88(RGBA)
        1    0.000    0.000    0.001    0.001 GdkPixbuf.py:18(<module>)
        1    0.000    0.000    0.000    0.000 GdkPixbuf.py:31(Pixbuf)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:105(GimpGradientFile)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:16(<module>)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:63(GradientFile)
        1    0.000    0.000    0.000    0.000 GimpPaletteFile.py:17(<module>)
        1    0.000    0.000    0.000    0.000 GimpPaletteFile.py:25(GimpPaletteFile)
        1    0.000    0.000    0.000    0.000 Gio.py:102(DBusSignalInfo)
        1    0.000    0.000    0.000    0.000 Gio.py:110(DBusInterfaceInfo)
        1    0.000    0.000    0.000    0.000 Gio.py:118(DBusNodeInfo)
        1    0.000    0.000    0.000    0.000 Gio.py:126(ActionMap)
        1    0.000    0.000    0.000    0.000 Gio.py:204(FileEnumerator)
        1    0.000    0.000    0.003    0.003 Gio.py:21(<module>)
        1    0.000    0.000    0.000    0.000 Gio.py:224(MenuItem)
        1    0.000    0.000    0.000    0.000 Gio.py:234(Settings)
        1    0.000    0.000    0.000    0.000 Gio.py:306(_DBusProxyMethodCall)
        1    0.000    0.000    0.000    0.000 Gio.py:373(DBusProxy)
        1    0.000    0.000    0.000    0.000 Gio.py:39(Application)
        1    0.000    0.000    0.000    0.000 Gio.py:426(ListModel)
        1    0.000    0.000    0.000    0.000 Gio.py:488(ListStore)
        7    0.000    0.000    0.000    0.000 Gio.py:51(_warn_init)
        1    0.000    0.000    0.000    0.000 Gio.py:69(VolumeMonitor)
        1    0.000    0.000    0.000    0.000 Gio.py:78(DBusAnnotationInfo)
        1    0.000    0.000    0.000    0.000 Gio.py:86(DBusArgInfo)
        1    0.000    0.000    0.000    0.000 Gio.py:94(DBusMethodInfo)
        1    0.000    0.000    0.000    0.000 Gtk.py:1066(TreeModelRow)
        1    0.000    0.000    0.000    0.000 Gtk.py:1172(TreeModelRowIter)
        1    0.000    0.000    0.000    0.000 Gtk.py:1195(TreePath)
        1    0.000    0.000    0.000    0.000 Gtk.py:1248(TreeStore)
        1    0.000    0.000    0.000    0.000 Gtk.py:125(_FreezeNotifyManager)
