Áreas de movilidad;Tipo de dato;Periodo;Total
Aldeamayor de San Martín y Portillo;Personas;18/11/2019;7.956
Alegia y otros municipios;Personas;18/11/2019;5.456
Alegría-Dulantzi y otros municipios;Personas;18/11/2019;7.387
Alella;Personas;18/11/2019;9.801
Alfacar y Jun;Personas;18/11/2019;9.233
Alfafar y Llocnou de la Corona;Personas;18/11/2019;21.008
Alfamén y otros municipios;Personas;18/11/2019;5.032
Alfaro;Personas;18/11/2019;9.476
Alfàs del Pi, l';Personas;18/11/2019;20.482
Alforja y otros municipios;Personas;18/11/2019;5.098
Alfoz de Lloredo y otros municipios;Personas;18/11/2019;6.231
Alfoz de Quintanadueñas y otros municipios;Personas;18/11/2019;6.393
Algaba, La;Personas;18/11/2019;16.374
Algaida;Personas;18/11/2019;5.642
Algarrobo;Personas;18/11/2019;6.444
Algeciras (distrito 01);Personas;18/11/2019;34.168
Algeciras (distrito 02);Personas;18/11/2019;30.315
Algeciras (distrito 03);Personas;18/11/2019;21.516
Algeciras (distrito 04);Personas;18/11/2019;35.958
Algemesí;Personas;18/11/2019;27.331
Algete;Personas;18/11/2019;20.611
Alginet;Personas;18/11/2019;13.380
Algodonales y Gastor, El;Personas;18/11/2019;7.302
Alguazas;Personas;18/11/2019;9.638
Alhama de Almería y otros municipios;Personas;18/11/2019;5.112
Alhama de Granada y otros municipios;Personas;18/11/2019;8.644
Alhama de Murcia;Personas;18/11/2019;22.077
Alhaurín de la Torre;Personas;18/11/2019;40.345
Alhaurín el Grande;Personas;18/11/2019;24.705
Alhendín y Malahá, La;Personas;18/11/2019;11.130
Alicante (SCD Number 1);Personas;18/11/2019;21.462
Alicante (SCD Number 2-A);Personas;18/11/2019;19.782
Alicante (SCD Number 2-B);Personas;18/11/2019;14.899
Alicante (SCD Number 3-A);Personas;18/11/2019;21.273
Alicante (SCD Number 3-B);Personas;18/11/2019;13.668
Alicante (SCD Number 3-C);Personas;18/11/2019;15.464
Alicante (SCD Number 4-A);Personas;18/11/2019;23.377
Alicante (SCD Number 4-B);Personas;18/11/2019;18.102
Alicante (SCD Number 4-C);Personas;18/11/2019;34.728
Alicante (SCD Number 5-A);Personas;18/11/2019;19.435
Alicante (SCD Number 5-B);Personas;18/11/2019;13.220
Alicante (SCD Number 6-A);Personas;18/11/2019;24.471
Alicante (SCD Number 6-B);Personas;18/11/2019;26.057
Alicante (SCD Number 7-A);Personas;18/11/2019;20.368
Alicante (SCD Number 7-B);Personas;18/11/2019;9.397
Alicante (SCD Number 8-A);Personas;18/11/2019;13.720
Alicante (SCD Number 8-B);Personas;18/11/2019;25.464
Aljaraque;Personas;18/11/2019;21.260
Allande y otros municipios;Personas;18/11/2019;4.655
Allariz y Taboadela;Personas;18/11/2019;7.617
Aller;Personas;18/11/2019;10.613
Almacelles;Personas;18/11/2019;6.791
Almáchar y otros municipios;Personas;18/11/2019;6.177
Almadén;Personas;18/11/2019;5.312
Almagro;Personas;18/11/2019;8.896
Almansa;Personas;18/11/2019;24.419
Almaraz y otros municipios;Personas;18/11/2019;5.090
Almàssera;Personas;18/11/2019;7.349
Almazán;Personas;18/11/2019;5.489
Almazora/Almassora;Personas;18/11/2019;26.270
Almenar y Alfarràs;Personas;18/11/2019;6.195
Almenara y Llosa, la;Personas;18/11/2019;6.949
Almendral y otros municipios;Personas;18/11/2019;4.907
Almendralejo;Personas;18/11/2019;33.474
Almensilla;Personas;18/11/2019;6.080
Almería (distrito 03);Personas;18/11/2019;11.422
Almería (distrito 04);Personas;18/11/2019;6.841
Almería (distrito 05);Personas;18/11/2019;14.217
Almería (distrito 06);Personas;18/11/2019;65.642
Almería (distrito 08);Personas;18/11/2019;16.712
Almería (distritos 01 y 02);Personas;18/11/2019;9.593
Almería (sección 018 y otras secciones del distrito 07);Personas;18/11/2019;22.936
Almería (sección 037 y otras secciones del distrito 07);Personas;18/11/2019;27.580
Almería (sección 041 y otras secciones del distrito 07);Personas;18/11/2019;23.590
Almodóvar del Campo;Personas;18/11/2019;6.027
Almodóvar del Río y Guadalcázar;Personas;18/11/2019;9.520
Almogía y Villanueva de la Concepción;Personas;18/11/2019;7.011
Almoharín y otros municipios;Personas;18/11/2019;5.068
Almonte;Personas;18/11/2019;24.191
Almoradí;Personas;18/11/2019;20.803
