Áreas de movilidad;Tipo de dato;Periodo;Total
Beniarbeig y otros municipios;Personas;18/11/2019;5.673
Beniarrés y otros municipios;Personas;18/11/2019;5.570
Benicarló;Personas;18/11/2019;26.912
Benicasim/Benicàssim;Personas;18/11/2019;18.192
Benidorm (distrito 01);Personas;18/11/2019;17.514
Benidorm (distrito 02);Personas;18/11/2019;18.984
Benidorm (distrito 03);Personas;18/11/2019;21.931
Benidorm (distrito 04);Personas;18/11/2019;10.292
Beniel;Personas;18/11/2019;11.318
Benifaió;Personas;18/11/2019;11.962
Benifairó de les Valls y otros municipios;Personas;18/11/2019;5.429
Benigànim;Personas;18/11/2019;5.841
Benilloba y otros municipios;Personas;18/11/2019;5.050
Benissa;Personas;18/11/2019;11.005
Benissanet y otros municipios;Personas;18/11/2019;6.041
Bera y otros municipios;Personas;18/11/2019;7.929
Berango;Personas;18/11/2019;7.195
Berastegi y otros municipios;Personas;18/11/2019;3.853
Berga;Personas;18/11/2019;16.494
Bergara y otros municipios;Personas;18/11/2019;19.656
Bergondo;Personas;18/11/2019;6.633
Beriáin y otros municipios;Personas;18/11/2019;5.511
Berja;Personas;18/11/2019;12.415
Berlanga de Duero y otros municipios;Personas;18/11/2019;4.980
Berlanga y otros municipios;Personas;18/11/2019;6.495
Bermeo;Personas;18/11/2019;16.765
Berriatua y otros municipios;Personas;18/11/2019;4.283
Berrioplano/Berriobeiti;Personas;18/11/2019;7.256
Berriozar;Personas;18/11/2019;10.426
Berriz y Garai;Personas;18/11/2019;4.950
Besalú y otros municipios;Personas;18/11/2019;5.231
Bescanó y otros municipios;Personas;18/11/2019;8.613
Betanzos;Personas;18/11/2019;12.959
Bétera;Personas;18/11/2019;24.272
Betxí;Personas;18/11/2019;5.645
Biar y otros municipios;Personas;18/11/2019;6.991
Bigastro y Jacarilla;Personas;18/11/2019;8.755
Bigues i Riells;Personas;18/11/2019;9.092
Bilbao (SCD Abando 1);Personas;18/11/2019;24.166
Bilbao (SCD Abando 2);Personas;18/11/2019;27.296
Bilbao (SCD Basartu-Zorrotza);Personas;18/11/2019;32.531
Bilbao (SCD Begoña 1);Personas;18/11/2019;35.768
Bilbao (SCD Deustu 1);Personas;18/11/2019;24.150
Bilbao (SCD Deustu 2);Personas;18/11/2019;25.006
Bilbao (SCD Errekalde 1);Personas;18/11/2019;24.415
Bilbao (SCD Errekalde 2);Personas;18/11/2019;24.348
Bilbao (SCD Ibaiondo 1);Personas;18/11/2019;24.313
Bilbao (SCD Ibaiondo 2);Personas;18/11/2019;38.260
Bilbao (SCD Otxarkoaga-Txurdinaga);Personas;18/11/2019;25.687
Bilbao (SCD Uribarri 1);Personas;18/11/2019;24.429
Bilbao (SCD Uribarri 2);Personas;18/11/2019;16.474
Binaced y otros municipios;Personas;18/11/2019;5.371
Binéfar;Personas;18/11/2019;9.561
Binissalem;Personas;18/11/2019;8.567
Bisbal del Penedès, La y Albinyana;Personas;18/11/2019;5.966
Bisbal d'Empordà, La;Personas;18/11/2019;10.974
Blanca;Personas;18/11/2019;6.539
Blanes;Personas;18/11/2019;39.028
Boadilla del Monte;Personas;18/11/2019;54.570
Boal y otros municipios;Personas;18/11/2019;3.581
Boalo, El;Personas;18/11/2019;7.508
Boborás y otros municipios;Personas;18/11/2019;5.898
Bocairent;Personas;18/11/2019;4.195
Boceguillas y otros municipios;Personas;18/11/2019;4.626
Boecillo y Viana de Cega;Personas;18/11/2019;6.238
Boimorto y otros municipios;Personas;18/11/2019;6.080
Boiro;Personas;18/11/2019;18.838
Bolaños de Calatrava;Personas;18/11/2019;11.934
Bollullos de la Mitación;Personas;18/11/2019;10.787
Bollullos Par del Condado;Personas;18/11/2019;14.272
Bonares y Lucena del Puerto;Personas;18/11/2019;9.429
Bonrepòs i Mirambell y otros municipios;Personas;18/11/2019;10.421
Boñar y otros municipios;Personas;18/11/2019;6.399
Boqueixón y Touro;Personas;18/11/2019;7.794
Borges Blanques, Les;Personas;18/11/2019;6.087
Borja y otros municipios;Personas;18/11/2019;5.294
Bormujos;Personas;18/11/2019;21.972
Bornos y Espera;Personas;18/11/2019;11.530
Borriana/Burriana;Personas;18/11/2019;34.683
Borriol y otros municipios;Personas;18/11/2019;9.730
Bosque, El y otros municipios;Personas;18/11/2019;5.298
Brenes;Personas;18/11/2019;12.471
Breña Alta;Personas;18/11/2019;7.204
Breña Baja;Personas;18/11/2019;5.690
Brihuega y otros municipios;Personas;18/11/2019;5.074
Brión;Personas;18/11/2019;7.837
Briviesca;Personas;18/11/2019;6.595
Brozas y otros municipios;Personas;18/11/2019;4.890
Brunete;Personas;18/11/2019;10.736
Buenavista del Norte;Personas;18/11/2019;4.778
Bueu;Personas;18/11/2019;12.009
Buitrago del Lozoya y otros municipios;Personas;18/11/2019;7.674
Bujalance y Cañete de las Torres;Personas;18/11/2019;10.350
Bullas;Personas;18/11/2019;11.530
Bunyola;Personas;18/11/2019;6.809
Buñol;Personas;18/11/2019;9.408
Burela;Personas;18/11/2019;9.588
Burgo de Ebro, El y otros municipios;Personas;18/11/2019;4.570
Burgo de Osma-Ciudad de Osma y otros municipios;Personas;18/11/2019;5.299
Burgo, El y otros municipios;Personas;18/11/2019;5.531
Burgos (distrito 03);Personas;18/11/2019;16.510
Burgos (distrito 05);Personas;18/11/2019;57.804
Burgos (distrito 06);Personas;18/11/2019;12.302
Burgos (distrito 07);Personas;18/11/2019;12.092
Burgos (distrito 08);Personas;18/11/2019;18.029
Burgos (distrito 09);Personas;18/11/2019;49.742
Burgos (distritos 01, 02 y 04);Personas;18/11/2019;9.342
Burguillos;Personas;18/11/2019;6.716
Burguillos de Toledo y Ajofrín;Personas;18/11/2019;5.436
Burguillos del Cerro y otros municipios;Personas;18/11/2019;7.813
Burjassot;Personas;18/11/2019;38.024
Burlada/Burlata;Personas;18/11/2019;19.096
Busot y otros municipios;Personas;18/11/2019;5.837
Cabana de Bergantiños y Laxe;Personas;18/11/2019;7.264
Cabanes y otros municipios;Personas;18/11/2019;4.967
Cabanillas del Campo y otros municipios;Personas;18/11/2019;12.328
Cabeza del Buey y otros municipios;Personas;18/11/2019;8.065
Cabezas de San Juan, Las;Personas;18/11/2019;16.417
Cabezón de la Sal;Personas;18/11/2019;8.301
Cabezuela del Valle y otros municipios;Personas;18/11/2019;5.045
Cabra;Personas;18/11/2019;20.341
Cabrales y otros municipios;Personas;18/11/2019;6.199
Cabrera de Mar;Personas;18/11/2019;4.680
Cabrera, La y otros municipios;Personas;18/11/2019;5.586
Cabrerizos y otros municipios;Personas;18/11/2019;6.598
Cabrils;Personas;18/11/2019;7.439
Cacabelos;Personas;18/11/2019;5.118
Cáceres (distrito 01);Personas;18/11/2019;25.598
Cáceres (distrito 02);Personas;18/11/2019;14.408
Cáceres (distrito 03);Personas;18/11/2019;6.777
Cáceres (distrito 04);Personas;18/11/2019;32.143
Cáceres (distrito 05);Personas;18/11/2019;7.838
Cáceres (distrito 06) y Aliseda;Personas;18/11/2019;10.522
Cadalso de los Vidrios y otros municipios;Personas;18/11/2019;5.602
Cadaqués y otros municipios;Personas;18/11/2019;5.354
Cádiz (distrito 01);Personas;18/11/2019;5.988
Cádiz (distrito 02);Personas;18/11/2019;5.643
Cádiz (distrito 03);Personas;18/11/2019;6.486
Cádiz (distrito 04);Personas;18/11/2019;4.134
Cádiz (distrito 05);Personas;18/11/2019;4.518
Cádiz (distrito 08);Personas;18/11/2019;27.652
Cádiz (distrito 09);Personas;18/11/2019;24.862
Cádiz (distrito 10);Personas;18/11/2019;28.763
Cádiz (distritos 06 y 07);Personas;18/11/2019;7.981
Cájar;Personas;18/11/2019;5.129
Calafell;Personas;18/11/2019;26.538
Calahorra;Personas;18/11/2019;24.220
Calamocha y otros municipios;Personas;18/11/2019;5.511
Calamonte;Personas;18/11/2019;6.162
Calanda y otros municipios;Personas;18/11/2019;4.756
Calasparra;Personas;18/11/2019;10.178
Calatayud;Personas;18/11/2019;20.024
Caldas de Reis;Personas;18/11/2019;9.785
Caldes de Malavella;Personas;18/11/2019;7.641
Caldes de Montbui;Personas;18/11/2019;17.554
Calella;Personas;18/11/2019;19.069
Calera y Chozas;Personas;18/11/2019;4.646
Càlig y otros municipios;Personas;18/11/2019;5.931
Calldetenes y Folgueroles;Personas;18/11/2019;4.756
Callosa de Segura;Personas;18/11/2019;19.038
Callosa d'en Sarrià;Personas;18/11/2019;7.373
Calonge;Personas;18/11/2019;11.092
Calp;Personas;18/11/2019;22.725
Calvarrasa de Abajo y otros municipios;Personas;18/11/2019;6.308
Calvià;Personas;18/11/2019;50.559
Calzada de Calatrava y otros municipios;Personas;18/11/2019;7.068
Calzada de Valdunciel y otros municipios;Personas;18/11/2019;5.470
Camarasa y otros municipios;Personas;18/11/2019;3.877
Camarena y Ventas de Retamosa, Las;Personas;18/11/2019;7.325
Camargo;Personas;18/11/2019;30.260
Camariñas;Personas;18/11/2019;5.272
Camarma de Esteruelas y Valdeavero;Personas;18/11/2019;8.890
Camas;Personas;18/11/2019;27.509
Cambados;Personas;18/11/2019;13.744
Cambil y otros municipios;Personas;18/11/2019;5.826
Cambre;Personas;18/11/2019;24.648
Cambrils y Vinyols i els Arcs;Personas;18/11/2019;35.954
Campana, La;Personas;18/11/2019;5.276
Campanario y otros municipios;Personas;18/11/2019;7.983
Campanet y Búger;Personas;18/11/2019;3.690
Campaspero y otros municipios;Personas;18/11/2019;5.055
Campdevànol y otros municipios;Personas;18/11/2019;5.522
Campello, el;Personas;18/11/2019;28.349
Campillo de Altobuey y otros municipios;Personas;18/11/2019;4.650
Campillos;Personas;18/11/2019;8.444
Campo de Criptana y Arenales de San Gregorio;Personas;18/11/2019;14.003
Campo Real;Personas;18/11/2019;6.210
Camponaraya y otros municipios;Personas;18/11/2019;7.268
Campoo de Enmedio y Hermandad de Campoo de Suso;Personas;18/11/2019;5.317
Campos;Personas;18/11/2019;10.862
Campos del Río y otros municipios;Personas;18/11/2019;4.665
Camprodon y otros municipios;Personas;18/11/2019;5.495
Canals;Personas;18/11/2019;13.587
Candelaria;Personas;18/11/2019;27.985
Candeleda;Personas;18/11/2019;5.018
Canet de Mar;Personas;18/11/2019;14.526
Canet d'En Berenguer;Personas;18/11/2019;6.697
Cangas;Personas;18/11/2019;26.542
Cangas de Onís;Personas;18/11/2019;6.163
Cangas del Narcea;Personas;18/11/2019;12.347
Canonja, La;Personas;18/11/2019;5.893
Canovelles;Personas;18/11/2019;16.629
Cantalejo y otros municipios;Personas;18/11/2019;5.463
Cantavieja y otros municipios;Personas;18/11/2019;4.516
Cantillana;Personas;18/11/2019;10.684
Cantimpalos y otros municipios;Personas;18/11/2019;4.777
Cantoria y otros municipios;Personas;18/11/2019;7.695
Canyelles y Olivella;Personas;18/11/2019;8.446
Cañiza, A y Crecente;Personas;18/11/2019;7.192
Capdepera;Personas;18/11/2019;11.868
Capellades y Vallbona d'Anoia;Personas;18/11/2019;6.666
Caravaca de la Cruz;Personas;18/11/2019;25.760
Carbajosa de la Sagrada;Personas;18/11/2019;7.116
Carballeda de Valdeorras y otros municipios;Personas;18/11/2019;4.711
Carballiño, O;Personas;18/11/2019;14.027
Carballo;Personas;18/11/2019;31.349
Carboneras;Personas;18/11/2019;8.004
Carbonero el Mayor y otros municipios;Personas;18/11/2019;5.093
Carcaixent;Personas;18/11/2019;20.358
Carcastillo y otros municipios;Personas;18/11/2019;10.741
Cardedeu;Personas;18/11/2019;18.357
Cardeñadijo y otros municipios;Personas;18/11/2019;4.400
Cardona y Sant Mateu de Bages;Personas;18/11/2019;5.239
Cariñena y otros municipios;Personas;18/11/2019;5.130
Carlet;Personas;18/11/2019;15.598
Carlota, La;Personas;18/11/2019;14.061
Carmona;Personas;18/11/2019;28.531
Carnota y Mazaricos;Personas;18/11/2019;7.842
Carolina, La;Personas;18/11/2019;15.261
Carpio de Tajo, El y otros municipios;Personas;18/11/2019;5.338
Carracedelo y Toral de los Vados;Personas;18/11/2019;5.271
Carral;Personas;18/11/2019;6.408
Carranque;Personas;18/11/2019;4.846
Carreño;Personas;18/11/2019;10.337
Carrión de Calatrava y otros municipios;Personas;18/11/2019;7.060
Carrión de los Condes y otros municipios;Personas;18/11/2019;5.062
Carrizo y otros municipios;Personas;18/11/2019;6.000
Cartagena (distrito 01);Personas;18/11/2019;4.551
Cartagena (distrito 02);Personas;18/11/2019;13.644
Cartagena (distrito 03);Personas;18/11/2019;32.480
Cartagena (distrito 04);Personas;18/11/2019;6.326
Cartagena (distrito 05);Personas;18/11/2019;11.542
Cartagena (distrito 06);Personas;18/11/2019;20.517
Cartagena (distrito 07);Personas;18/11/2019;20.922
Cartagena (distrito 08);Personas;18/11/2019;47.576
Cartagena (distrito 09);Personas;18/11/2019;7.106
Cartagena (distrito 10);Personas;18/11/2019;50.138
Cártama;Personas;18/11/2019;26.259
Cartaya;Personas;18/11/2019;19.974
Cartelle y otros municipios;Personas;18/11/2019;5.226
Cartes;Personas;18/11/2019;5.747
Casabermeja y Colmenar;Personas;18/11/2019;6.898
Casalarreina y otros municipios;Personas;18/11/2019;5.410
Casar de Cáceres y Garrovillas de Alconétar;Personas;18/11/2019;6.503
Casar de Escalona, El y otros municipios;Personas;18/11/2019;5.307
Casar de Palomero y otros municipios;Personas;18/11/2019;5.166
Casar, El y Uceda;Personas;18/11/2019;14.678
Casarabonela y otros municipios;Personas;18/11/2019;5.733
Casares;Personas;18/11/2019;6.515
Casariche y Badolatosa;Personas;18/11/2019;8.534
Casas de Juan Núñez y otros municipios;Personas;18/11/2019;5.513
Casas-Ibáñez y otros municipios;Personas;18/11/2019;5.305
Casasimarro y otros municipios;Personas;18/11/2019;5.160
Casavieja y otros municipios;Personas;18/11/2019;5.064
Caso y otros municipios;Personas;18/11/2019;3.565
Caspe;Personas;18/11/2019;9.748
Cassà de la Selva;Personas;18/11/2019;10.380
Castalla;Personas;18/11/2019;10.124
Castejón;Personas;18/11/2019;4.163
Castejón de Sos y otros municipios;Personas;18/11/2019;4.263
Castell, Es;Personas;18/11/2019;7.434
Castellanos de Moriscos y otros municipios;Personas;18/11/2019;5.676
Castellar del Vallès y otros municipios;Personas;18/11/2019;31.222
Castellar y otros municipios;Personas;18/11/2019;7.104
Castellbell i el Vilar y otros municipios;Personas;18/11/2019;6.947
Castellbisbal;Personas;18/11/2019;12.390
Castelldans y otros municipios;Personas;18/11/2019;6.059
Castelldefels (distrito 01);Personas;18/11/2019;17.949
Castelldefels (distrito 02);Personas;18/11/2019;12.552
Castelldefels (distrito 03);Personas;18/11/2019;9.937
Castelldefels (distrito 04);Personas;18/11/2019;13.198
Castelldefels (distrito 05);Personas;18/11/2019;13.368
Castelló d'Empúries;Personas;18/11/2019;10.906
Castellón de la Plana/Castelló de la Plana (distrito 03);Personas;18/11/2019;17.029
Castellón de la Plana/Castelló de la Plana (distrito 04);Personas;18/11/2019;31.635
Castellón de la Plana/Castelló de la Plana (distrito 05);Personas;18/11/2019;19.294
Castellón de la Plana/Castelló de la Plana (distrito 06);Personas;18/11/2019;29.885
Castellón de la Plana/Castelló de la Plana (distrito 07);Personas;18/11/2019;23.614
Castellón de la Plana/Castelló de la Plana (distrito 08);Personas;18/11/2019;17.371
Castellón de la Plana/Castelló de la Plana (distrito 09);Personas;18/11/2019;18.712
Castellón de la Plana/Castelló de la Plana (distritos 01 y 02);Personas;18/11/2019;14.188
Castell-Platja d'Aro;Personas;18/11/2019;10.860
Castellterçol y otros municipios;Personas;18/11/2019;6.165
Castellvell del Camp y Almoster;Personas;18/11/2019;4.208
Castelserás y otros municipios;Personas;18/11/2019;5.051
Castilblanco de los Arroyos;Personas;18/11/2019;4.864
Castilleja de la Cuesta;Personas;18/11/2019;17.418
Castillo de Locubín y Fuensanta de Martos;Personas;18/11/2019;7.132
Castrillón;Personas;18/11/2019;22.376
Castro de Rei;Personas;18/11/2019;5.052
Castro del Río;Personas;18/11/2019;7.809
Castro-Urdiales y Guriezo;Personas;18/11/2019;34.423
Castroverde y otros municipios;Personas;18/11/2019;5.467
Castuera y otros municipios;Personas;18/11/2019;7.455
Catadau y otros municipios;Personas;18/11/2019;6.308
Catarroja;Personas;18/11/2019;28.120
Catllar, El y Secuita, La;Personas;18/11/2019;6.138
Catral;Personas;18/11/2019;8.639
Caudete;Personas;18/11/2019;9.963
Cazalla de la Sierra y Pedroso, El;Personas;18/11/2019;6.736
Cazorla;Personas;18/11/2019;7.441
Cebolla y otros municipios;Personas;18/11/2019;4.921
Cebreros y otros municipios;Personas;18/11/2019;7.134
Ceclavín y otros municipios;Personas;18/11/2019;6.280
Cedeira y otros municipios;Personas;18/11/2019;8.979
Cedillo del Condado y Palomeque;Personas;18/11/2019;4.733
Cee y Corcubión;Personas;18/11/2019;9.135
Cehegín;Personas;18/11/2019;14.983
Celanova;Personas;18/11/2019;5.649
Cella y otros municipios;Personas;18/11/2019;7.391
Celrà y Bordils;Personas;18/11/2019;7.231
Cenes de la Vega;Personas;18/11/2019;8.002
Centelles;Personas;18/11/2019;7.404
Cerceda y Tordoia;Personas;18/11/2019;8.300
Cercedilla y Navacerrada;Personas;18/11/2019;9.998
Cercs y otros municipios;Personas;18/11/2019;4.802
Cerdanyola del Vallès;Personas;18/11/2019;57.403
Cerdedo-Cotobade y Campo Lameiro;Personas;18/11/2019;7.516
Cerro de Andévalo, El y otros municipios;Personas;18/11/2019;5.286
Cervelló y Palma de Cervelló, La;Personas;18/11/2019;12.008
Cervera;Personas;18/11/2019;9.180
Cervera de Pisuerga y otros municipios;Personas;18/11/2019;5.374
Cervera del Río Alhama y otros municipios;Personas;18/11/2019;4.836
Cervo y Xove;Personas;18/11/2019;7.500
Cespedosa de Tormes y otros municipios;Personas;18/11/2019;5.608
Ceuta (distrito 01);Personas;18/11/2019;14.333
Ceuta (distrito 02);Personas;18/11/2019;10.079
Ceuta (distrito 03);Personas;18/11/2019;15.930
Ceuta (distrito 04);Personas;18/11/2019;20.420
Ceuta (distrito 06 y sección 004 del distrito 05);Personas;18/11/2019;15.840
Ceuta (sección 007 y otras secciones del distrito 05);Personas;18/11/2019;8.175
Ceutí;Personas;18/11/2019;11.787
Chantada;Personas;18/11/2019;8.192
Chauchina;Personas;18/11/2019;5.565
Chelva y otros municipios;Personas;18/11/2019;7.420
Cheste;Personas;18/11/2019;8.494
Chiclana de la Frontera (distrito 01);Personas;18/11/2019;14.956
Chiclana de la Frontera (distrito 02);Personas;18/11/2019;9.073
Chiclana de la Frontera (distrito 03);Personas;18/11/2019;9.743
Chiclana de la Frontera (distrito 04);Personas;18/11/2019;25.205
Chiclana de la Frontera (distrito 05);Personas;18/11/2019;25.512
Chillón y otros municipios;Personas;18/11/2019;4.856
Chimeneas y otros municipios;Personas;18/11/2019;6.426
Chinchilla de Monte-Aragón y Pozo Cañada;Personas;18/11/2019;7.003
Chinchón y otros municipios;Personas;18/11/2019;10.032
Chipiona;Personas;18/11/2019;19.123
Chiva y Godelleta;Personas;18/11/2019;18.656
Chozas de Abajo y otros municipios;Personas;18/11/2019;6.542
Churriana de la Vega;Personas;18/11/2019;15.200
Ciempozuelos;Personas;18/11/2019;24.592
Cieza;Personas;18/11/2019;34.988
Cifuentes y otros municipios;Personas;18/11/2019;5.017
Cigales;Personas;18/11/2019;5.235
Cilleros y otros municipios;Personas;18/11/2019;6.115
Cintruénigo y Fitero;Personas;18/11/2019;9.914
Cistérniga;Personas;18/11/2019;9.034
Cistierna y otros municipios;Personas;18/11/2019;5.171
Ciudad Real (distrito 01);Personas;18/11/2019;15.872
Ciudad Real (distrito 02);Personas;18/11/2019;29.266
Ciudad Real (distrito 03);Personas;18/11/2019;8.769
Ciudad Real (distrito 04);Personas;18/11/2019;19.305
Ciudad Real (distrito 05) y otros municipios;Personas;18/11/2019;9.780
Ciudad Rodrigo;Personas;18/11/2019;12.344
Ciutadella de Menorca;Personas;18/11/2019;29.840
Cizur y Galar;Personas;18/11/2019;6.161
Cobeña;Personas;18/11/2019;7.428
Cobisa y Layos;Personas;18/11/2019;5.064
Coca y otros municipios;Personas;18/11/2019;4.377
Cocentaina;Personas;18/11/2019;11.511
Cofrentes y otros municipios;Personas;18/11/2019;4.868
Coín;Personas;18/11/2019;22.147
Coles y Amoeiro;Personas;18/11/2019;5.330
Colindres;Personas;18/11/2019;8.484
Collado Mediano;Personas;18/11/2019;6.958
Collado Villalba;Personas;18/11/2019;63.679
Collbató;Personas;18/11/2019;4.466
Colmenar de Oreja;Personas;18/11/2019;8.032
Colmenar Viejo;Personas;18/11/2019;50.752
Colmenarejo;Personas;18/11/2019;9.130
Colunga y Caravia;Personas;18/11/2019;3.734
Cómpeta y Frigiliana;Personas;18/11/2019;6.931
Condado de Treviño y Puebla de Arganzón, La;Personas;18/11/2019;1.848
Conil de la Frontera;Personas;18/11/2019;22.529
Consell;Personas;18/11/2019;4.053
Constantí;Personas;18/11/2019;6.540
Constantina y Navas de la Concepción, Las;Personas;18/11/2019;7.455
Consuegra;Personas;18/11/2019;9.998
Corbera de Llobregat;Personas;18/11/2019;14.822
Corbera y otros municipios;Personas;18/11/2019;8.826
Córdoba (SCD Alcolea y sección 044 del distrito 02) y Obejo;Personas;18/11/2019;9.296
Córdoba (SCD Arcángel);Personas;18/11/2019;7.645
Córdoba (SCD Arruzafilla);Personas;18/11/2019;8.701
Córdoba (SCD Brillante - Barrio del Naranjo);Personas;18/11/2019;15.760
Córdoba (SCD Campo de la Verdad - Fray Albino);Personas;18/11/2019;9.425
Córdoba (SCD Cañero - Parque Fidiana);Personas;18/11/2019;6.907
Córdoba (SCD Casco Histórico);Personas;18/11/2019;31.012
Córdoba (SCD Cercadilla - Olivos Borrachos);Personas;18/11/2019;6.485
Córdoba (SCD Ciudad jardín);Personas;18/11/2019;15.921
Córdoba (SCD El Higuerón - Majaneque-Alameda del Obispo);Personas;18/11/2019;9.342
Córdoba (SCD Fátima);Personas;18/11/2019;17.049
Córdoba (SCD Fuensanta - Santuario);Personas;18/11/2019;12.846
Córdoba (SCD Huerta de la Marquesa);Personas;18/11/2019;8.523
Córdoba (SCD Levante - Zumbacón);Personas;18/11/2019;19.973
Córdoba (SCD Margaritas - Colonia de la Paz);Personas;18/11/2019;6.446
Córdoba (SCD Miralbaida - Electromecánicas);Personas;18/11/2019;6.485
Córdoba (SCD Moreras -  Huerta de la Reina);Personas;18/11/2019;9.399
Córdoba (SCD Parque Figueroa - San Rafael de la Albaida);Personas;18/11/2019;6.383
Córdoba (SCD Polígono del Guadalquivir);Personas;18/11/2019;9.337
Córdoba (SCD Santa Isabel);Personas;18/11/2019;10.901
Córdoba (SCD Santa Rosa - Camping);Personas;18/11/2019;9.449
Córdoba (SCD Sector Sur);Personas;18/11/2019;16.292
Córdoba (SCD Tejares - Molinos Altas - San Cayetano);Personas;18/11/2019;9.090
Córdoba (SCD Valdeolleros - Chinales);Personas;18/11/2019;11.993
Córdoba (SCD Villarrubia -Encinarejo de Córdoba);Personas;18/11/2019;8.624
Córdoba (SCD Viñuela - Rescatado - Cerro de la Golondrina);Personas;18/11/2019;15.988
Córdoba (SCD Vista Alegre - Vallellano - Parque Cruz Conde/Corregidor y sección 037 del distrito 10);Personas;18/11/2019;14.223
Córdoba (sección 020 del distrito 10 y otras secciones del distrito 06);Personas;18/11/2019;3.680
Córdoba (varias secciones) y Victoria, La;Personas;18/11/2019;12.808
Corella;Personas;18/11/2019;7.971
Coria;Personas;18/11/2019;12.478
Coria del Río;Personas;18/11/2019;30.777
Coristanco;Personas;18/11/2019;6.074
Cornellà de Llobregat (distrito 01);Personas;18/11/2019;21.160
Cornellà de Llobregat (distrito 02);Personas;18/11/2019;6.283
Cornellà de Llobregat (distrito 03);Personas;18/11/2019;13.880
Cornellà de Llobregat (distrito 04);Personas;18/11/2019;22.065
Cornellà de Llobregat (distrito 05);Personas;18/11/2019;10.516
Cornellà de Llobregat (distrito 06);Personas;18/11/2019;14.688
Cornellà del Terri y otros municipios;Personas;18/11/2019;5.795
Coronil, El;Personas;18/11/2019;4.746
Corral de Almaguer y otros municipios;Personas;18/11/2019;8.948
Corrales de Buelna, Los;Personas;18/11/2019;10.841
Corrales del Vino y otros municipios;Personas;18/11/2019;6.085
Cortegana;Personas;18/11/2019;4.666
Cortes de la Frontera y otros municipios;Personas;18/11/2019;7.301
Cortes y Buñuel;Personas;18/11/2019;5.370
Coruña, A (distrito 01);Personas;18/11/2019;13.024
Coruña, A (distrito 02);Personas;18/11/2019;30.425
Coruña, A (distrito 03);Personas;18/11/2019;25.558
Coruña, A (distrito 04);Personas;18/11/2019;30.549
Coruña, A (distrito 05);Personas;18/11/2019;34.112
Coruña, A (distrito 06);Personas;18/11/2019;26.199
Coruña, A (distrito 07);Personas;18/11/2019;54.254
Coruña, A (distrito 08);Personas;18/11/2019;10.565
Coruña, A (distrito 09);Personas;18/11/2019;12.144
Coruña, A (distrito 10);Personas;18/11/2019;8.881
Corvera de Asturias e Illas;Personas;18/11/2019;16.563
Corvera de Toranzo y otros municipios;Personas;18/11/2019;5.554
Coslada (distrito 01);Personas;18/11/2019;34.367
Coslada (distrito 02);Personas;18/11/2019;29.268
Coslada (distritos 03 y 04);Personas;18/11/2019;18.026
Cospeito;Personas;18/11/2019;4.484
Covaleda y otros municipios;Personas;18/11/2019;4.889
Coves de Vinromà, les y otros municipios;Personas;18/11/2019;5.052
Cox y otros municipios;Personas;18/11/2019;11.819
Creixell y Pobla de Montornès, La;Personas;18/11/2019;6.481
Crevillent;Personas;18/11/2019;28.952
Cruïlles, Monells i Sant Sadurní de l'Heura y otros municipios;Personas;18/11/2019;5.248
Cuarte de Huerva y Cadrete;Personas;18/11/2019;17.335
Cubas de la Sagra y Casarrubuelos;Personas;18/11/2019;10.191
Cubelles;Personas;18/11/2019;15.329
Cudillero;Personas;18/11/2019;4.987
Cuéllar;Personas;18/11/2019;9.583
Cuenca (distrito 03) y otros municipios;Personas;18/11/2019;12.251
Cuenca (distrito 04);Personas;18/11/2019;40.592
Cuenca (distritos 01 y 02) y otros municipios;Personas;18/11/2019;3.761
Cuervo de Sevilla, El;Personas;18/11/2019;8.610
Cuevas de San Marcos y Cuevas Bajas;Personas;18/11/2019;5.043
Cuevas del Almanzora;Personas;18/11/2019;14.081
Cúllar Vega;Personas;18/11/2019;7.429
Cúllar y Caniles;Personas;18/11/2019;8.176
Cullera;Personas;18/11/2019;22.145
Culleredo;Personas;18/11/2019;30.402
Cumbres Mayores y otros municipios;Personas;18/11/2019;6.005
Cunit;Personas;18/11/2019;12.952
Cuntis;Personas;18/11/2019;4.677
Curtis y Aranga;Personas;18/11/2019;5.832
Daganzo de Arriba;Personas;18/11/2019;10.205
Daimiel;Personas;18/11/2019;17.929
Daimús y otros municipios;Personas;18/11/2019;6.277
Dalías y Balanegra;Personas;18/11/2019;7.015
Daroca y otros municipios;Personas;18/11/2019;5.545
Darro y otros municipios;Personas;18/11/2019;5.283
Deba;Personas;18/11/2019;5.459
Deifontes y otros municipios;Personas;18/11/2019;7.870
Deltebre y Sant Jaume d'Enveja;Personas;18/11/2019;14.985
Dénia;Personas;18/11/2019;42.166
Derio;Personas;18/11/2019;6.631
Dima y otros municipios;Personas;18/11/2019;7.262
Dolores;Personas;18/11/2019;7.470
Don Benito y otros municipios;Personas;18/11/2019;39.146
Doneztebe/Santesteban y otros municipios;Personas;18/11/2019;5.431
Donostia/San Sebastián (distrito 01);Personas;18/11/2019;5.849
Donostia/San Sebastián (distrito 02);Personas;18/11/2019;8.667
Donostia/San Sebastián (distrito 03);Personas;18/11/2019;41.512
Donostia/San Sebastián (distrito 04);Personas;18/11/2019;24.725
Donostia/San Sebastián (distrito 05);Personas;18/11/2019;16.945
Donostia/San Sebastián (distrito 06);Personas;18/11/2019;46.318
