CELDA_ORIGEN;NOMBRE_CELDA_ORIGEN;CELDA_DESTINO;NOMBRE_CELDA_DESTINO;FLUJO;
001A;Montesinos, Los y Algorfa;023A;Almoradí;40;
001A;Montesinos, Los y Algorfa;058A;Rojales;136;
001A;Montesinos, Los y Algorfa;061A;San Miguel de Salinas;48;
001A;Montesinos, Los y Algorfa;091A;Orihuela (distrito 05);94;
001A;Montesinos, Los y Algorfa;097A;Torrevieja (distrito 01);218;
001A;Montesinos, Los y Algorfa;098A;Torrevieja (distrito 02);145;
001A;Montesinos, Los y Algorfa;099A;Torrevieja (distrito 03);52;
001B;Sant Joan de Vilatorrada y otros municipios;008B;Sant Vicenç de Castellet y otros municipios;30;
001B;Sant Joan de Vilatorrada y otros municipios;019B;Sant Pere de Vilamajor y otros municipios;28;
001B;Sant Joan de Vilatorrada y otros municipios;032B;Taradell y otros municipios;30;
001B;Sant Joan de Vilatorrada y otros municipios;073B;Sant Salvador de Guardiola y Manresa (distrito 06);113;
001B;Sant Joan de Vilatorrada y otros municipios;106B;Sallent;47;
001B;Sant Joan de Vilatorrada y otros municipios;107B;Santpedor;95;
001B;Sant Joan de Vilatorrada y otros municipios;117B;Sant Fruitós de Bages;138;
001B;Sant Joan de Vilatorrada y otros municipios;137B;Súria;54;
001B;Sant Joan de Vilatorrada y otros municipios;253B;Manresa (distrito 02);218;
001B;Sant Joan de Vilatorrada y otros municipios;254B;Manresa (distritos 01 y 03);28;
001B;Sant Joan de Vilatorrada y otros municipios;255B;Manresa (distrito 04);221;
001B;Sant Joan de Vilatorrada y otros municipios;256B;Manresa (distrito 05);161;
001M;Fuentidueña de Tajo y otros municipios;002M;Perales de Tajuña y otros municipios;19;
001M;Fuentidueña de Tajo y otros municipios;003M;Valdilecha y otros municipios;19;
001M;Fuentidueña de Tajo y otros municipios;04CU;Barajas de Melo y otros municipios;23;
001M;Fuentidueña de Tajo y otros municipios;080M;Villarejo de Salvanés;25;
001M;Fuentidueña de Tajo y otros municipios;096M;Arganda del Rey;39;
001M;Fuentidueña de Tajo y otros municipios;11GU;Mondéjar y otros municipios;40;
001M;Fuentidueña de Tajo y otros municipios;24TO;Santa Cruz de la Zarza y Villatobas;24;
001M;Fuentidueña de Tajo y otros municipios;26CU;Tarancón;30;
001S;Real de la Jara, El y otros municipios;055S;Guillena;27;
001S;Real de la Jara, El y otros municipios;10HU;Santa Olalla del Cala y otros municipios;23;
001S;Real de la Jara, El y otros municipios;12HU;Minas de Riotinto y otros municipios;17;
001S;Real de la Jara, El y otros municipios;13HU;Nerva y Granada de Río-Tinto, La;17;
001V;Daimús y otros municipios;002V;Bellreguard y otros municipios;127;
001V;Daimús y otros municipios;003V;Gandia (distritos 01 y 03);105;
001V;Daimús y otros municipios;004V;Vilallonga/Villalonga y Ador;43;
