CELDA_ORIGEN;NOMBRE_CELDA_ORIGEN;CELDA_DESTINO;NOMBRE_CELDA_DESTINO;FLUJO;
001A;Montesinos, Los y Algorfa;002A;Formentera del Segura y otros municipios;17;
001A;Montesinos, Los y Algorfa;021A;Orihuela (distrito 08) y Rafal;17;
001A;Montesinos, Los y Algorfa;023A;Almoradí;17;
001A;Montesinos, Los y Algorfa;027A;Benejúzar;17;
001A;Montesinos, Los y Algorfa;031A;Callosa de Segura;17;
001A;Montesinos, Los y Algorfa;041A;Guardamar del Segura;17;
001A;Montesinos, Los y Algorfa;058A;Rojales;85;
001A;Montesinos, Los y Algorfa;061A;San Miguel de Salinas;57;
001A;Montesinos, Los y Algorfa;083A;Elche/Elx (distrito 07 y sección 023 del distrito 06);17;
001A;Montesinos, Los y Algorfa;091A;Orihuela (distrito 05);17;
001A;Montesinos, Los y Algorfa;092A;Orihuela (distrito 06);17;
001A;Montesinos, Los y Algorfa;097A;Torrevieja (distrito 01);146;
001A;Montesinos, Los y Algorfa;098A;Torrevieja (distrito 02);99;
001A;Montesinos, Los y Algorfa;099A;Torrevieja (distrito 03);17;
001A;Montesinos, Los y Algorfa;116A;Alicante (SCD Number 8-B);17;
001B;Sant Joan de Vilatorrada y otros municipios;073B;Sant Salvador de Guardiola y Manresa (distrito 06);82;
001B;Sant Joan de Vilatorrada y otros municipios;106B;Sallent;36;
001B;Sant Joan de Vilatorrada y otros municipios;107B;Santpedor;65;
001B;Sant Joan de Vilatorrada y otros municipios;117B;Sant Fruitós de Bages;58;
001B;Sant Joan de Vilatorrada y otros municipios;137B;Súria;29;
001B;Sant Joan de Vilatorrada y otros municipios;253B;Manresa (distrito 02);178;
001B;Sant Joan de Vilatorrada y otros municipios;254B;Manresa (distritos 01 y 03);31;
001B;Sant Joan de Vilatorrada y otros municipios;255B;Manresa (distrito 04);175;
001B;Sant Joan de Vilatorrada y otros municipios;256B;Manresa (distrito 05);126;
001M;Fuentidueña de Tajo y otros municipios;04CU;Barajas de Melo y otros municipios;22;
001M;Fuentidueña de Tajo y otros municipios;080M;Villarejo de Salvanés;25;
001M;Fuentidueña de Tajo y otros municipios;11GU;Mondéjar y otros municipios;44;
001M;Fuentidueña de Tajo y otros municipios;24TO;Santa Cruz de la Zarza y Villatobas;19;
001M;Fuentidueña de Tajo y otros municipios;26CU;Tarancón;22;
001S;Real de la Jara, El y otros municipios;055S;Guillena;35;
001S;Real de la Jara, El y otros municipios;10HU;Santa Olalla del Cala y otros municipios;19;
001V;Daimús y otros municipios;002V;Bellreguard y otros municipios;115;
001V;Daimús y otros municipios;003V;Gandia (distritos 01 y 03);83;
001V;Daimús y otros municipios;004V;Vilallonga/Villalonga y Ador;75;
001V;Daimús y otros municipios;037A;Dénia;75;
001V;Daimús y otros municipios;049V;Oliva y otros municipios;70;
001V;Daimús y otros municipios;093V;Gandia (distrito 04);160;
001V;Daimús y otros municipios;142V;Gandia (distrito 02);40;
002A;Formentera del Segura y otros municipios;023A;Almoradí;186;
002A;Formentera del Segura y otros municipios;058A;Rojales;445;
002A;Formentera del Segura y otros municipios;059A;San Fulgencio;72;
002A;Formentera del Segura y otros municipios;083A;Elche/Elx (distrito 07 y sección 023 del distrito 06);50;
002B;Òdena y otros municipios;003B;Torre de Claramunt, La y Pobla de Claramunt, La;42;
002B;Òdena y otros municipios;019B;Sant Pere de Vilamajor y otros municipios;28;
002B;Òdena y otros municipios;074B;Igualada;489;
002B;Òdena y otros municipios;129B;Santa Margarida de Montbui;70;
002B;Òdena y otros municipios;145B;Vilanova del Camí;87;
002M;Perales de Tajuña y otros municipios;003M;Valdilecha y otros municipios;26;
002M;Perales de Tajuña y otros municipios;018M;Chinchón y otros municipios;25;
002M;Perales de Tajuña y otros municipios;080M;Villarejo de Salvanés;29;
002M;Perales de Tajuña y otros municipios;096M;Arganda del Rey;116;
002S;Cazalla de la Sierra y Pedroso, El;003S;Guadalcanal y otros municipios;41;
002S;Cazalla de la Sierra y Pedroso, El;005S;Constantina y Navas de la Concepción, Las;27;
002S;Cazalla de la Sierra y Pedroso, El;040S;Castilblanco de los Arroyos;27;
002V;Bellreguard y otros municipios;001V;Daimús y otros municipios;142;
002V;Bellreguard y otros municipios;003V;Gandia (distritos 01 y 03);119;
002V;Bellreguard y otros municipios;004V;Vilallonga/Villalonga y Ador;57;
002V;Bellreguard y otros municipios;005V;Font d'En Carròs, la y otros municipios;55;
002V;Bellreguard y otros municipios;006V;Real de Gandía y otros municipios;47;
002V;Bellreguard y otros municipios;049V;Oliva y otros municipios;301;
002V;Bellreguard y otros municipios;142V;Gandia (distrito 02);60;
003A;Bigastro y Jacarilla;021A;Orihuela (distrito 08) y Rafal;168;
003A;Bigastro y Jacarilla;03MU;Abanilla;95;
003A;Bigastro y Jacarilla;092A;Orihuela (distrito 06);252;
003B;Torre de Claramunt, La y Pobla de Claramunt, La;002B;Òdena y otros municipios;27;
003B;Torre de Claramunt, La y Pobla de Claramunt, La;004B;Capellades y Vallbona d'Anoia;71;
003B;Torre de Claramunt, La y Pobla de Claramunt, La;145B;Vilanova del Camí;25;
003M;Valdilecha y otros municipios;004M;Anchuelo y otros municipios;43;
003M;Valdilecha y otros municipios;035M;Campo Real;33;
003M;Valdilecha y otros municipios;060M;Nuevo Baztán;158;
003M;Valdilecha y otros municipios;096M;Arganda del Rey;56;
003S;Guadalcanal y otros municipios;23BA;Montemolín y otros municipios;23;
003S;Guadalcanal y otros municipios;24BA;Azuaga y otros municipios;30;
003V;Gandia (distritos 01 y 03);002V;Bellreguard y otros municipios;32;
003V;Gandia (distritos 01 y 03);004V;Vilallonga/Villalonga y Ador;38;
003V;Gandia (distritos 01 y 03);006V;Real de Gandía y otros municipios;50;
003V;Gandia (distritos 01 y 03);049V;Oliva y otros municipios;37;
003V;Gandia (distritos 01 y 03);051V;Gandia (distrito 07) y Benirredrà;56;
003V;Gandia (distritos 01 y 03);075V;Gandia (distrito 06);63;
003V;Gandia (distritos 01 y 03);089V;Gandia (distrito 05);38;
003V;Gandia (distritos 01 y 03);093V;Gandia (distrito 04);51;
003V;Gandia (distritos 01 y 03);142V;Gandia (distrito 02);287;
004A;Cox y otros municipios;005A;Albatera y San Isidro;225;
004A;Cox y otros municipios;021A;Orihuela (distrito 08) y Rafal;79;
004A;Cox y otros municipios;031A;Callosa de Segura;186;
004A;Cox y otros municipios;036A;Crevillent;45;
004A;Cox y otros municipios;057A;Redován;77;
004A;Cox y otros municipios;093A;Orihuela (distrito 07);142;
004B;Capellades y Vallbona d'Anoia;002B;Òdena y otros municipios;31;
004B;Capellades y Vallbona d'Anoia;003B;Torre de Claramunt, La y Pobla de Claramunt, La;142;
004B;Capellades y Vallbona d'Anoia;098B;Piera;64;
004M;Anchuelo y otros municipios;003M;Valdilecha y otros municipios;48;
004M;Anchuelo y otros municipios;060M;Nuevo Baztán;34;
004M;Anchuelo y otros municipios;073M;Torres de la Alameda;19;
004M;Anchuelo y otros municipios;077M;Villalbilla;56;
004M;Anchuelo y otros municipios;085M;Alcalá de Henares (distrito 03);28;
004M;Anchuelo y otros municipios;10GU;Pioz y Pozo de Guadalajara;37;
004S;Peñaflor y Puebla de los Infantes, La;006S;Lora del Río y Alcolea del Río;93;
004S;Peñaflor y Puebla de los Infantes, La;15CO;Posadas y Hornachuelos;70;
004S;Peñaflor y Puebla de los Infantes, La;61CO;Palma del Río;158;
004V;Vilallonga/Villalonga y Ador;001V;Daimús y otros municipios;53;
004V;Vilallonga/Villalonga y Ador;003V;Gandia (distritos 01 y 03);54;
004V;Vilallonga/Villalonga y Ador;005V;Font d'En Carròs, la y otros municipios;61;
004V;Vilallonga/Villalonga y Ador;006V;Real de Gandía y otros municipios;136;
004V;Vilallonga/Villalonga y Ador;049V;Oliva y otros municipios;117;
004V;Vilallonga/Villalonga y Ador;093V;Gandia (distrito 04);44;
004V;Vilallonga/Villalonga y Ador;142V;Gandia (distrito 02);38;
005A;Albatera y San Isidro;004A;Cox y otros municipios;257;
005A;Albatera y San Isidro;021A;Orihuela (distrito 08) y Rafal;53;
005A;Albatera y San Isidro;023A;Almoradí;41;
005A;Albatera y San Isidro;031A;Callosa de Segura;76;
005A;Albatera y San Isidro;034A;Catral;72;
005A;Albatera y San Isidro;036A;Crevillent;151;
005A;Albatera y San Isidro;057A;Redován;94;
005A;Albatera y San Isidro;083A;Elche/Elx (distrito 07 y sección 023 del distrito 06);117;
005A;Albatera y San Isidro;093A;Orihuela (distrito 07);88;
005B;Mediona y otros municipios;023B;Sant Pere de Riudebitlles y otros municipios;88;
005B;Mediona y otros municipios;098B;Piera;29;
005M;Lozoyuela-Navas-Sieteiglesias y otros municipios;007M;Buitrago del Lozoya y otros municipios;125;
005M;Lozoyuela-Navas-Sieteiglesias y otros municipios;019M;Cabrera, La y otros municipios;45;
005M;Lozoyuela-Navas-Sieteiglesias y otros municipios;022M;Torrelaguna y Redueña;18;
005M;Lozoyuela-Navas-Sieteiglesias y otros municipios;06GU;Humanes y otros municipios;37;
005M;Lozoyuela-Navas-Sieteiglesias y otros municipios;16GU;Casar, El y Uceda;52;
005S;Constantina y Navas de la Concepción, Las;002S;Cazalla de la Sierra y Pedroso, El;58;
005S;Constantina y Navas de la Concepción, Las;003S;Guadalcanal y otros municipios;35;
005S;Constantina y Navas de la Concepción, Las;006S;Lora del Río y Alcolea del Río;55;
005V;Font d'En Carròs, la y otros municipios;002V;Bellreguard y otros municipios;46;
005V;Font d'En Carròs, la y otros municipios;003V;Gandia (distritos 01 y 03);36;
005V;Font d'En Carròs, la y otros municipios;004V;Vilallonga/Villalonga y Ador;210;
005V;Font d'En Carròs, la y otros municipios;006V;Real de Gandía y otros municipios;204;
005V;Font d'En Carròs, la y otros municipios;049V;Oliva y otros municipios;119;
